event_id,user,hour_of_day,files_accessed,usb_event,resource_sensitivity
0,alice.johnson,8,13,0,0.194
1,david.lee,12,13,0,0.394
2,emma.wilson,12,9,0,0.114
3,alice.johnson,9,12,0,0.129
4,carol.smith,8,12,0,0.214
5,bob.carter,11,12,0,0.193
6,david.lee,11,10,0,0.278
7,alice.johnson,9,8,0,0.167
8,carol.smith,11,12,0,0.109
9,david.lee,7,5,0,0.197
10,carol.smith,11,8,0,0.125
11,david.lee,11,8,0,0.197
12,bob.carter,10,3,0,0.051
13,bob.carter,9,15,0,0.283
14,carol.smith,12,3,0,0.316
15,emma.wilson,9,10,0,0.477
16,david.lee,13,13,0,0.42
17,alice.johnson,9,4,0,0.212
18,alice.johnson,14,21,0,0.075
19,alice.johnson,9,7,0,0.323
20,bob.carter,9,9,0,0.224
21,alice.johnson,8,7,0,0.131
22,david.lee,10,9,0,0.327
23,bob.carter,10,16,0,0.113
24,bob.carter,12,11,0,0.3
25,david.lee,13,9,0,0.262
26,emma.wilson,9,9,0,0.213
27,david.lee,7,9,0,0.073
28,alice.johnson,10,8,0,0.217
29,david.lee,9,9,0,0.194
30,alice.johnson,14,6,0,0.045
31,emma.wilson,9,7,0,0.189
32,emma.wilson,10,2,0,0.553
33,carol.smith,16,5,0,0.29
34,emma.wilson,11,8,0,0.06
35,emma.wilson,9,11,0,0.194
36,david.lee,11,9,0,0.447
37,emma.wilson,11,5,0,0.349
38,emma.wilson,8,8,0,0.19
39,emma.wilson,10,15,0,0.139
40,carol.smith,11,16,0,0.289
41,carol.smith,9,15,0,0.361
42,carol.smith,12,8,0,0.159
43,david.lee,10,14,0,0.564
44,emma.wilson,9,16,0,0.106
45,emma.wilson,9,11,0,0.232
46,emma.wilson,13,1,0,0.169
47,david.lee,12,7,0,0.293
48,david.lee,10,9,0,0.312
49,bob.carter,9,6,0,0.201
50,emma.wilson,11,19,0,0.028
51,emma.wilson,13,3,0,0.036
52,david.lee,7,1,0,0.103
53,david.lee,9,10,0,0.252
54,emma.wilson,12,8,0,0.117
55,david.lee,7,4,0,0.119
56,emma.wilson,13,9,0,0.163
57,david.lee,9,4,0,0.085
58,carol.smith,8,11,0,0.038
59,alice.johnson,8,7,0,0.141
60,carol.smith,7,14,0,0.327
61,bob.carter,14,18,0,0.253
62,carol.smith,11,6,0,0.025
63,david.lee,14,14,0,0.238
64,david.lee,9,14,0,0.168
65,bob.carter,10,12,0,0.14
66,bob.carter,11,12,0,0.196
67,carol.smith,12,2,1,0.016
68,bob.carter,7,1,0,0.535
69,david.lee,7,8,0,0.152
70,david.lee,12,16,0,0.096
71,alice.johnson,9,15,0,0.232
72,bob.carter,11,3,0,0.278
73,emma.wilson,7,6,0,0.167
74,david.lee,11,12,0,0.144
75,bob.carter,9,6,0,0.076
76,alice.johnson,11,10,0,0.301
77,bob.carter,11,10,0,0.225
78,david.lee,13,14,0,0.308
79,emma.wilson,8,12,0,0.063
80,alice.johnson,10,17,0,0.202
81,emma.wilson,9,13,0,0.041
82,bob.carter,9,12,0,0.2
83,carol.smith,10,4,0,0.078
84,emma.wilson,13,8,1,0.184
85,bob.carter,9,15,0,0.005
86,david.lee,9,8,0,0.061
87,carol.smith,11,18,0,0.118
88,emma.wilson,7,10,0,0.288
89,david.lee,11,11,0,0.219
90,emma.wilson,8,8,0,0.031
91,david.lee,7,13,0,0.081
92,bob.carter,11,11,0,0.133
93,emma.wilson,9,8,0,0.31
94,david.lee,10,13,0,0.22
95,carol.smith,8,9,0,0.154
96,emma.wilson,8,12,0,0.213
97,david.lee,10,9,0,0.05
98,carol.smith,12,1,0,0.08
99,bob.carter,8,5,0,0.196
100,alice.johnson,12,13,0,0.011
101,alice.johnson,7,10,0,0.439
102,bob.carter,9,5,0,0.491
103,bob.carter,11,11,0,0.216
104,david.lee,10,7,0,0.289
105,bob.carter,13,10,0,0.073
106,bob.carter,10,17,0,0.178
107,alice.johnson,8,9,0,0.056
108,alice.johnson,12,14,0,0.254
109,alice.johnson,11,15,0,0.181
110,emma.wilson,9,11,0,0.129
111,alice.johnson,11,5,0,0.334
112,bob.carter,7,10,0,0.388
113,carol.smith,13,5,0,0.114
114,carol.smith,9,17,0,0.389
115,david.lee,16,13,0,0.338
116,bob.carter,11,10,0,0.191
117,bob.carter,7,9,0,0.169
118,alice.johnson,10,11,0,0.441
119,carol.smith,10,9,0,0.133
120,bob.carter,8,11,0,0.233
121,emma.wilson,9,8,0,0.179
122,david.lee,7,11,0,0.196
123,bob.carter,10,4,0,0.066
124,alice.johnson,12,14,0,0.055
125,bob.carter,9,6,0,0.068
126,bob.carter,10,10,0,0.149
127,carol.smith,11,5,0,0.279
128,emma.wilson,12,11,0,0.196
129,david.lee,7,11,0,0.045
130,david.lee,10,11,0,0.2
131,david.lee,7,8,0,0.314
